Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;01 PREESCOLAR;00 TRANSICIÓN;21;1
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;02 PRIMARIA;01 PRIMERO;22;1
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;02 PRIMARIA;02 SEGUNDO;19;1
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;02 PRIMARIA;03 TERCERO;18;1
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;02 PRIMARIA;04 CUARTO;21;1
2023;CENTRO EDUCATIVO RURAL SAN JACINTO;02 PRIMARIA;05 QUINTO;17;1
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;01 PREESCOLAR;00 TRANSICIÓN;41;2
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;02 PRIMARIA;01 PRIMERO;38;2
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;02 PRIMARIA;02 SEGUNDO;27;1
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;02 PRIMARIA;03 TERCERO;38;2
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;02 PRIMARIA;04 CUARTO;37;2
2023;CENTRO EDUCATIVO RURAL SAN MIGUEL;02 PRIMARIA;05 QUINTO;43;2
2023;INSTITUCION EDUCATIVA 20 DE ENERO;01 PREESCOLAR;00 TRANSICIÓN;120;6
2023;INSTITUCION EDUCATIVA 20 DE ENERO;02 PRIMARIA;01 PRIMERO;166;8
2023;INSTITUCION EDUCATIVA 20 DE ENERO;02 PRIMARIA;02 SEGUNDO;177;9
2023;INSTITUCION EDUCATIVA 20 DE ENERO;02 PRIMARIA;03 TERCERO;163;8
2023;INSTITUCION EDUCATIVA 20 DE ENERO;02 PRIMARIA;04 CUARTO;163;8
2023;INSTITUCION EDUCATIVA 20 DE ENERO;02 PRIMARIA;05 QUINTO;168;8
2023;INSTITUCION EDUCATIVA 20 DE ENERO;03 SECUNDARIA;06 SEXTO;171;9
2023;INSTITUCION EDUCATIVA 20 DE ENERO;03 SECUNDARIA;07 SÉPTIMO;136;7
2023;INSTITUCION EDUCATIVA 20 DE ENERO;03 SECUNDARIA;08 OCTAVO;141;7
2023;INSTITUCION EDUCATIVA 20 DE ENERO;03 SECUNDARIA;09 NOVENO;137;7
2023;INSTITUCION EDUCATIVA 20 DE ENERO;04 MEDIA;10 DÉCIMO;106;5
2023;INSTITUCION EDUCATIVA 20 DE ENERO;04 MEDIA;11 ONCE;83;4
2023;INSTITUCION EDUCATIVA ALTOS DE LA SABANA;01 PREESCOLAR;00 TRANSICIÓN;84;4
2023;INSTITUCION EDUCATIVA ALTOS DE LA SABANA;02 PRIMARIA;01 PRIMERO;88;4
